CustomerID,First,Last,StreetAddress,City,State,ZipCode,Email,PhoneNumber,FirstPurchaseDate,SubscribedToEmailList,Gender
101811,Kenneth,Walton,6715 Commonwealth Dr,Sacramento,CA,94256,walton.k76@fastmail.com,(916) 918-1561,30-May-13,FALSE,M
103508,Madeleine,Jones,3603 Leola Way,Sacramento,CA,94258,j_madeleine@gmail.com,(916) 186-9423,06-Feb-13,FALSE,F
104939,Damen,Wheeler,6740 Branwood Way,Orangevale,CA,95662,dwheeler@outlook.com,(916) 164-1156,11-Apr-13,FALSE,M
105549,Kevin,Gilbert,3198 Livingston Way,Folsom,CA,95671,kgilbert@fastmail.com,(916) 304-9859,28-Feb-13,TRUE,M
105771,John,Young,663 Westward Way,Sacramento,CA,95899,john.y90@mail.com,(916) 730-6109,05-Sep-13,TRUE,M
108708,Tommy,Kono,3179 Camelia River Way,Isleton,CA,95641,tkono@outlook.com,(916) 119-3967,01-Jul-12,FALSE,M
109251,Anna,Himes,5507 Chimango Way,Sacramento,CA,94207,h_anna@fastmail.com,(916) 198-9609,26-Oct-12,TRUE,F
110363,Marjorie,Love,3462 Mellowoods Way,Sacramento,CA,94299,lmarjorie54@icloud.com,(916) 736-1033,22-Aug-13,TRUE,F
111486,Nina,Schreiner,1182 Dornajo Way,Sacramento,CA,94239,schreiner_n@mail.com,(916) 216-1413,01-May-13,FALSE,F
111991,Marc,Newfield,6887 Conklin Ct,Sacramento,CA,95832,mnewfield@icloud.com,(916) 418-2002,06-Jan-13,TRUE,M
112690,Tom,Hanks,9375 Ahart Way,Ryde,CA,95680,hanks_t5@mail.com,(916) 165-9126,02-Sep-12,FALSE,M
116690,Christian,Wellisch,8725 Capistrano Way,Sacramento,CA,94208,wellisch.c@mail.com,(916) 811-7804,27-Feb-13,FALSE,M
116934,Audrey,Tapp,2816 West Pkwy,Sacramento,CA,94267,t_audrey94@outlook.com,(916) 711-5520,06-Dec-12,TRUE,F
119406,Dallas,Braden,9638 Chambord Ct,Sacramento,CA,94204,dallas_b89@aol.com,(916) 632-6107,20-Jun-13,FALSE,M
121639,D.J.,Countess,608 Alder Creek Dr,Sacramento,CA,94263,c_d.j.31@yahoo.com,(916) 705-6650,11-Dec-12,TRUE,M
122818,Beatrice,Abramson,716 Durness Way,Sacramento,CA,94257,beatrice.a@yahoo.com,(916) 324-4893,14-Sep-12,FALSE,F
127472,George,Stanich,4486 Gloriann Way,Ryde,CA,95680,sgeorge@fastmail.com,(916) 161-3581,14-Dec-12,TRUE,M
128131,Tim,Ocel,6962 Gardenside Ct,Sacramento,CA,95830,tim_o33@icloud.com,(916) 775-1818,12-May-13,FALSE,M
132454,Dawn,Childress,4237 Rock House Cir N,Sacramento,CA,95825,dawnc@mail.com,(916) 622-7783,15-Aug-12,FALSE,F
134457,Alice,Novak,1573 Layton Dr,Sacramento,CA,94273,n.alice@outlook.com,(916) 725-1543,13-Jan-13,FALSE,F
137696,Sherry,Metz,9054 Ladefonos Ct,Ryde,CA,95680,metzs@zoho.com,(916) 405-4103,05-Sep-12,TRUE,F
143878,Sylvia,Finley,4892 Waterash Way,Sacramento,CA,95821,sylviaf61@icloud.com,(916) 847-9725,27-Aug-13,FALSE,F
145929,Joyce,Meadows,3426 Cliff Breeze Pl,Sacramento,CA,95860,joycem26@gmail.com,(916) 607-8534,20-Apr-13,FALSE,F
147216,Cassandra,Whyte,7635 Amelia Earhart Ave,Sacramento,CA,95838,c.whyte71@hotmail.com,(916) 454-6170,29-May-13,FALSE,F
147218,Madeleine,Savoie,884 J St,Sacramento,CA,94229,m.savoie@aol.com,(916) 360-9980,14-Sep-13,TRUE,F
147543,Bud,Stewart,211 Maple Glen Rd,Sacramento,CA,94273,bstewart@aol.com,(916) 306-2673,26-Jul-12,TRUE,M
149240,Frenchy,Bordagaray,7125 Fig St,Sacramento,CA,94237,frenchy.b@outlook.com,(916) 767-7375,01-Dec-12,FALSE,M
154427,Mark,McLemore,1215 Rodeo Dr,Sacramento,CA,95860,mmark@aol.com,(916) 427-5321,18-Jan-13,TRUE,M
157388,David,Cooke,9830 Bradshaw Rd,Sacramento,CA,94288,david_c78@aol.com,(916) 884-9338,24-Nov-12,FALSE,M
157695,Catherine,Doane,7530 Silent Wings Way,Sacramento,CA,94207,catherine_d44@mail.com,(916) 234-4342,08-Mar-13,TRUE,F
158310,Doris,Garrett,2178 Yellowhammer Ct,Carmichael,CA,95608,garrett.d@hotmail.com,(916) 637-6027,14-Sep-12,FALSE,F
158528,Lauren,McFall,7229 Calle Verde Ct,Sacramento,CA,95813,mcfall_l@fastmail.com,(916) 631-0207,31-May-13,TRUE,F
160392,Randall,Bal,136 Marble Crest Ct,Courtland,CA,95615,randall_b@mail.com,(916) 745-1867,23-Jul-12,FALSE,M
161175,Adam,Jennings,1063 Wintermist Ct,Sacramento,CA,95813,jennings_a@hotmail.com,(916) 920-8314,01-Aug-13,FALSE,M
161942,Harvey,Nitz,8146 Meghan Way,Sacramento,CA,94254,harvey.n@mail.com,(916) 847-7490,15-Aug-12,FALSE,M
162236,Naomi,Donald,3661 Symphony Ct,Sacramento,CA,94206,dnaomi1@fastmail.com,(916) 873-6274,02-Jan-13,TRUE,F
166135,Adam,Jahn,138 Petaluma Ct,Folsom,CA,95763,adam.j@gmail.com,(916) 414-1121,09-Jul-12,FALSE,M
166612,Eric,Hansen,809 Rancho Roble Way,Sacramento,CA,94284,ehansen@icloud.com,(916) 926-3079,04-Jul-12,FALSE,M
166735,Susan,Howard,9290 Winoco Ct,Sacramento,CA,94279,showard45@mail.com,(916) 994-3095,10-Jan-13,FALSE,F
168607,Angela,Metzger,4482 Stillwater Way,Sacramento,CA,94239,angela.m@icloud.com,(916) 718-6376,23-Mar-13,FALSE,F
170500,Violet,Ramey,2398 Brand Way,Sacramento,CA,95853,rameyv72@outlook.com,(916) 185-1028,01-Nov-12,FALSE,F
173125,Timothy,Busfield,7453 Halo Ave,Sacramento,CA,95866,b_timothy@hotmail.com,(916) 944-4071,27-Jul-13,FALSE,M
173380,Charles,Mann,3691 Fox Hollow Ln,Citrus Heights,CA,95611,charlesm7@gmail.com,(916) 808-5313,24-May-13,FALSE,M
175871,Larry,Linville,4792 Butterfield Way,Sacramento,CA,95899,llarry@mail.com,(916) 602-0788,05-Nov-12,TRUE,M
175940,Derek,Miles,4409 Brook Bay Way,Walnut Grove,CA,95690,mderek@icloud.com,(916) 920-3277,19-Jul-12,FALSE,M
178806,Mary,Whipple,8552 Meadowglen Ave,Sacramento,CA,94205,mary.w@icloud.com,(916) 334-1354,18-Mar-13,FALSE,F
182040,Matt,Walbeck,910 Garner Ct,Sacramento,CA,94232,mwalbeck@yahoo.com,(916) 626-7780,19-Apr-13,FALSE,M
183797,Maxine,Hamer,383 Colonsay Way,Rancho Cordova,CA,95741,maxineh6@mail.com,(916) 760-1573,11-Nov-12,FALSE,F
185863,Constance,Gonzalez,1684 Country Haven Ct,Elk Grove,CA,95624,c.gonzalez@aol.com,(916) 530-7548,11-Jun-13,TRUE,F
186353,Edith,Hutton,5581 Merton Way,Sacramento,CA,95815,edith.h@mail.com,(916) 231-7479,25-Apr-13,FALSE,F
189441,Jim,Loscutoff,1526 Holiday Cove Ct,Sacramento,CA,94252,l_jim@outlook.com,(916) 758-2944,28-Apr-13,TRUE,M
189953,Brenda,Song,7324 Moddison Ave,Carmichael,CA,95608,sbrenda@gmail.com,(916) 764-0472,11-Aug-12,FALSE,F
190721,Priscilla,Oliver,1339 Loazell Ct,Sacramento,CA,95823,o.priscilla@aol.com,(916) 437-6201,22-Oct-12,FALSE,F
191050,Charlene,Boss,9938 Longridge Way,Sacramento,CA,95864,boss.c@icloud.com,(916) 691-8473,12-Sep-13,FALSE,F
191951,Megan,Musgrove,3465 Pepperwood Knoll Ln,Sacramento,CA,94285,megan_m@outlook.com,(916) 636-4293,06-May-13,FALSE,F
192738,Steve,Sax,3117 Glacken Way,Sacramento,CA,94257,steve.s@aol.com,(916) 626-8021,20-May-13,FALSE,M
193914,Toni,Storey,6919 Middle River Ct,Sacramento,CA,94262,t_storey37@gmail.com,(916) 273-0311,04-May-13,FALSE,F
193968,Marjorie,Pettus,2049 Meadowbrook Rd,Sacramento,CA,94294,p_marjorie@yahoo.com,(916) 926-9258,13-Oct-12,FALSE,F
